session_id,customer_id,visit_date,device,pages_viewed,session_duration_min,converted
SESS900000,CUST101297,2024-07-13,Mobile,5,1.09,0
SESS900001,CUST102511,2025-04-30,Desktop,3,0.81,0
SESS900002,CUST100882,2024-04-30,Tablet,6,1.01,0
SESS900003,CUST102716,2025-07-07,Mobile,4,5.58,0
SESS900004,CUST100207,2024-05-22,Mobile,3,0.73,0
SESS900005,CUST100044,2025-09-30,Desktop,3,14.44,0
SESS900006,CUST102379,2025-04-28,Mobile,2,6.13,0
SESS900007,CUST101714,2025-10-09,Mobile,2,12.46,0
SESS900008,CUST101260,2025-07-25,Desktop,7,9.11,1
SESS900009,CUST102970,2024-12-13,Mobile,10,12.15,0
SESS900010,CUST102339,2024-04-21,Mobile,7,1.02,0
SESS900011,CUST100967,2024-10-24,Mobile,10,1.18,0
SESS900012,CUST101955,2024-07-29,Desktop,2,1.23,0
SESS900013,CUST102289,2024-07-22,Mobile,5,1.32,0
SESS900014,CUST102814,2024-01-29,Mobile,7,0.81,0
SESS900015,CUST100439,2025-05-12,Desktop,3,8.11,0
SESS900016,CUST101802,2024-11-13,Mobile,8,0.58,0
SESS900017,CUST102431,2024-07-17,Tablet,7,0.56,0
SESS900018,CUST102436,2025-05-28,Mobile,5,6.08,0
SESS900019,CUST102879,2024-05-03,Mobile,8,1.98,0
SESS900020,CUST101902,2024-10-24,Desktop,5,4.62,0
SESS900021,CUST101435,2024-07-26,Desktop,2,3.87,0
SESS900022,CUST102566,2025-03-30,Desktop,6,0.97,0
SESS900023,CUST102608,2024-01-26,Mobile,2,6.43,0
SESS900024,CUST101582,2024-11-27,Mobile,5,2.36,0
SESS900025,CUST101218,2024-04-13,Mobile,8,3.08,0
SESS900026,CUST102568,2024-06-12,Mobile,3,2.95,1
SESS900027,CUST101053,2024-07-21,Mobile,5,1.23,0
SESS900028,CUST102381,2025-12-19,Mobile,3,4.4,0
SESS900029,CUST100378,2024-06-06,Desktop,8,6.78,0
SESS900030,CUST100164,2024-07-07,Tablet,6,4.94,0
SESS900031,CUST102527,2025-12-12,Mobile,6,1.85,0
SESS900032,CUST101506,2024-08-05,Desktop,3,5.29,1
SESS900033,CUST100397,2025-10-04,Mobile,3,3.97,0
SESS900034,CUST101643,2025-10-01,Mobile,4,2.89,0
SESS900035,CUST101447,2025-08-16,Desktop,3,0.9,0
SESS900036,CUST102228,2025-07-21,Mobile,6,0.7,0
SESS900037,CUST100944,2024-04-04,Mobile,1,14.16,0
SESS900038,CUST101645,2024-10-19,Desktop,7,17.48,0
SESS900039,CUST100222,2025-02-25,Mobile,6,3.67,0
SESS900040,CUST100545,2024-04-10,Desktop,8,2.23,0
SESS900041,CUST100272,2024-02-21,Desktop,3,11.48,0
SESS900042,CUST101681,2025-08-05,Desktop,4,3.64,0
SESS900043,CUST100410,2025-11-09,Mobile,2,0.56,0
SESS900044,CUST102696,2024-03-06,Mobile,6,6.11,0
SESS900045,CUST101549,2024-04-12,Mobile,6,2.01,0
SESS900046,CUST102476,2025-11-19,Mobile,5,2.86,0
SESS900047,CUST100861,2024-06-06,Tablet,10,1.18,0
SESS900048,CUST100875,2025-05-12,Mobile,3,5.81,0
SESS900049,CUST101211,2024-10-12,Mobile,4,0.95,0
SESS900050,CUST100272,2025-12-25,Mobile,3,1.06,0
SESS900051,CUST102580,2024-10-09,Desktop,6,1.06,0
SESS900052,CUST100891,2025-01-26,Mobile,4,1.57,1
SESS900053,CUST101015,2025-03-04,Desktop,6,8.44,0
SESS900054,CUST102714,2024-05-19,Mobile,4,2.62,0
SESS900055,CUST101166,2025-09-14,Mobile,7,0.69,0
SESS900056,CUST101381,2024-05-21,Mobile,6,1.78,0
SESS900057,CUST102082,2025-02-23,Mobile,3,5.65,0
SESS900058,CUST102274,2024-01-11,Desktop,2,0.99,0
SESS900059,CUST100372,2024-01-19,Desktop,4,1.96,0
SESS900060,CUST102865,2024-03-08,Desktop,12,0.83,0
SESS900061,CUST100477,2025-11-05,Desktop,8,0.61,0
SESS900062,CUST102702,2024-09-19,Mobile,4,4.52,0
SESS900063,CUST102780,2025-02-10,Mobile,2,0.74,0
SESS900064,CUST100059,2025-10-29,Mobile,7,1.69,0
SESS900065,CUST102718,2024-12-18,Desktop,2,2.85,0
SESS900066,CUST100383,2025-02-12,Desktop,7,8.36,0
SESS900067,CUST102725,2024-02-11,Desktop,4,3.09,0
SESS900068,CUST101936,2024-04-19,Mobile,4,3.93,0
SESS900069,CUST100800,2024-01-10,Mobile,6,0.68,0
SESS900070,CUST100904,2024-10-05,Desktop,3,5.1,0
SESS900071,CUST100586,2024-08-03,Mobile,6,12.64,0
SESS900072,CUST100832,2025-04-04,Mobile,3,3.83,0
SESS900073,CUST102469,2024-12-14,Mobile,4,1.45,1
SESS900074,CUST101245,2025-08-25,Mobile,7,9.36,1
SESS900075,CUST100141,2025-12-02,Desktop,7,0.92,0
SESS900076,CUST101672,2025-08-22,Mobile,5,4.19,0
SESS900077,CUST100548,2024-03-02,Mobile,6,2.43,0
SESS900078,CUST101578,2025-05-02,Desktop,3,1.57,0
SESS900079,CUST102994,2024-02-13,Mobile,5,5.93,0
SESS900080,CUST100174,2024-09-18,Desktop,1,1.85,0
SESS900081,CUST100545,2024-12-10,Tablet,8,3.95,0
SESS900082,CUST100545,2025-01-30,Mobile,3,8.59,0
SESS900083,CUST101825,2024-01-11,Mobile,5,14.09,0
SESS900084,CUST101659,2025-03-12,Mobile,5,7.0,0
SESS900085,CUST101083,2024-04-30,Desktop,4,1.45,0
SESS900086,CUST101500,2025-01-14,Desktop,5,1.33,0
SESS900087,CUST102273,2024-11-04,Mobile,3,0.5,0
SESS900088,CUST102901,2025-10-08,Mobile,6,6.18,0
SESS900089,CUST102082,2024-02-27,Mobile,3,2.36,0
SESS900090,CUST101296,2024-12-15,Mobile,5,0.92,0
SESS900091,CUST101858,2024-09-06,Desktop,4,0.68,0
SESS900092,CUST101841,2024-02-20,Desktop,6,7.4,0
SESS900093,CUST100663,2025-10-19,Mobile,4,9.1,1
SESS900094,CUST102928,2024-04-21,Mobile,8,3.1,0
SESS900095,CUST100072,2025-07-07,Desktop,2,0.8,1
SESS900096,CUST102631,2024-07-09,Mobile,6,1.2,0
SESS900097,CUST100075,2025-08-31,Mobile,5,2.82,0
SESS900098,CUST101422,2024-11-18,Tablet,4,4.08,0
SESS900099,CUST100165,2025-09-11,Mobile,3,10.81,0
SESS900100,CUST102178,2025-07-23,Mobile,5,3.44,0
SESS900101,CUST100598,2025-05-19,Desktop,8,1.94,0
SESS900102,CUST100662,2025-10-18,Tablet,5,2.71,0
SESS900103,CUST101273,2024-03-03,Desktop,4,0.89,0
SESS900104,CUST102818,2025-07-12,Desktop,6,5.93,0
SESS900105,CUST102823,2025-10-17,Mobile,2,8.22,0
SESS900106,CUST101170,2025-09-09,Desktop,5,0.57,0
SESS900107,CUST100917,2025-01-25,Mobile,1,3.95,0
SESS900108,CUST102370,2024-10-13,Mobile,1,6.79,0
SESS900109,CUST100207,2024-04-12,Tablet,7,0.72,0
SESS900110,CUST100368,2025-05-09,Mobile,5,8.16,0
SESS900111,CUST101567,2025-10-02,Desktop,4,0.66,0
SESS900112,CUST101943,2025-02-14,Mobile,5,3.26,0
SESS900113,CUST102614,2025-01-23,Desktop,7,8.71,0
SESS900114,CUST101740,2024-06-12,Desktop,5,2.12,0
SESS900115,CUST101552,2024-08-31,Desktop,4,5.03,0
SESS900116,CUST102666,2024-04-15,Desktop,5,3.73,0
SESS900117,CUST102920,2024-09-26,Tablet,7,4.86,0
SESS900118,CUST101386,2025-01-03,Mobile,7,2.6,0
SESS900119,CUST100445,2025-02-02,Mobile,3,3.11,0
SESS900120,CUST100300,2025-10-19,Desktop,5,1.1,0
SESS900121,CUST101214,2024-11-10,Tablet,3,1.0,0
SESS900122,CUST102248,2024-01-07,Mobile,7,3.62,0
SESS900123,CUST100246,2025-06-20,Tablet,8,9.59,0
SESS900124,CUST102792,2025-07-31,Desktop,3,4.5,1
SESS900125,CUST102905,2025-05-24,Mobile,4,0.9,0
SESS900126,CUST101505,2024-11-07,Tablet,3,4.77,1
SESS900127,CUST101641,2024-11-16,Mobile,3,13.9,1
SESS900128,CUST102828,2025-07-14,Mobile,4,2.98,0
SESS900129,CUST102964,2024-08-11,Desktop,1,2.32,0
SESS900130,CUST102351,2025-01-26,Mobile,4,3.87,0
SESS900131,CUST101231,2025-03-17,Desktop,5,1.58,0
SESS900132,CUST100461,2025-10-03,Desktop,3,1.6,0
SESS900133,CUST101967,2025-05-09,Desktop,12,6.93,0
SESS900134,CUST100151,2024-07-16,Mobile,2,6.9,0
SESS900135,CUST101908,2024-04-12,Tablet,7,4.09,0
SESS900136,CUST101706,2025-11-29,Desktop,2,7.58,0
SESS900137,CUST101425,2025-08-19,Mobile,6,0.78,0
SESS900138,CUST101106,2024-12-22,Tablet,5,6.03,1
SESS900139,CUST101975,2024-01-03,Mobile,1,4.72,0
SESS900140,CUST100905,2025-09-29,Mobile,2,9.98,0
SESS900141,CUST102616,2025-06-13,Tablet,2,5.81,0
SESS900142,CUST102633,2024-12-02,Mobile,5,7.12,0
SESS900143,CUST100251,2025-08-19,Mobile,2,4.5,0
SESS900144,CUST100434,2024-02-29,Mobile,9,4.3,1
SESS900145,CUST101888,2025-11-03,Desktop,3,1.8,0
SESS900146,CUST100506,2024-02-04,Desktop,8,9.48,0
SESS900147,CUST101989,2024-08-07,Tablet,6,6.19,0
SESS900148,CUST101852,2025-10-29,Mobile,4,2.78,0
SESS900149,CUST101349,2025-11-19,Mobile,8,0.86,0
SESS900150,CUST102085,2025-06-24,Mobile,2,2.23,0
SESS900151,CUST100820,2024-09-19,Mobile,7,4.19,1
SESS900152,CUST100320,2025-01-18,Mobile,4,9.2,0
SESS900153,CUST100070,2025-06-12,Desktop,9,4.32,0
SESS900154,CUST100192,2024-03-18,Mobile,5,1.94,0
SESS900155,CUST101697,2025-11-23,Mobile,6,1.77,0
SESS900156,CUST102830,2025-06-04,Tablet,8,4.67,0
SESS900157,CUST100148,2025-05-18,Mobile,4,3.16,0
SESS900158,CUST102976,2025-09-21,Mobile,7,1.16,0
SESS900159,CUST100164,2024-06-22,Mobile,7,1.19,0
SESS900160,CUST102457,2024-02-27,Mobile,3,11.39,0
SESS900161,CUST100843,2025-07-22,Mobile,4,1.14,0
SESS900162,CUST101770,2025-01-29,Desktop,5,3.83,0
SESS900163,CUST100370,2024-04-22,Desktop,4,0.82,0
SESS900164,CUST102189,2024-09-26,Mobile,3,0.53,0
SESS900165,CUST102432,2025-06-08,Mobile,3,3.28,1
SESS900166,CUST102373,2025-09-09,Desktop,2,3.46,0
